Ville,Lien,Jean-Luc Mélenchon,Emmanuel Macron,Marine Le Pen,Éric Zemmour,Valérie Pécresse,Yannick Jadot,Fabien Roussel,Jean Lassalle,Nicolas Dupont-Aignan,Anne Hidalgo,Philippe Poutou,Nathalie Arthaud,Taux de participation,Taux d'abstention,Votes blancs (en pourcentage des votes exprimés),Votes nuls (en pourcentage des votes exprimés),Nombre de votants
courtomer,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-courtomer/ville-77138,23.24,14.98,29.05,9.79,4.89,5.50,2.45,1.83,4.89,0.31,2.45,0.61,79.86,20.14,2.08,0.89,337.0
avon,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-avon/ville-77014,26.71,27.02,16.09,7.32,7.64,6.30,1.72,2.17,2.42,1.69,0.56,0.35,74.59,25.41,1.39,0.52,6 392
villeparisis,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-villeparisis/ville-77514,37.91,20.45,21.05,6.36,3.32,2.94,2.45,1.60,1.62,1.17,0.66,0.47,71.85,28.15,1.42,0.47,10 129
chelles,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chelles/ville-77108/,35.19,25.03,17.12,6.08,5.03,3.87,1.83,1.80,1.61,1.37,0.61,0.47,72.2,27.8,1.48,0.68,23 844
rampillon,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-rampillon/ville-77383,16.63,21.78,33.72,6.56,10.54,2.11,1.64,1.64,2.58,1.41,1.17,0.23,78.77,21.23,0.92,0.69,434.0
fretoy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fretoy/ville-77197,15.63,19.79,35.42,9.38,6.25,3.13,0.00,5.21,1.04,2.08,2.08,0.00,85.96,14.04,2.04,0.0,98.0
dampmart,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-dampmart/ville-77155,22.42,26.88,23.04,6.89,5.59,5.87,1.64,2.43,3.56,0.79,0.45,0.45,76.64,23.36,1.39,0.11,1 798
fay-les-nemours,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fay-les-nemours/ville-77178,,,,,,,,,,,,,,,,,
remauville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-remauville/ville-77387,,,,,,,,,,,,,,,,,
forges,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-forges/ville-77194,,,,,,,,,,,,,,,,,
boissettes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-boissettes/ville-77038,,,,,,,,,,,,,,,,,
rumont,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-rumont/ville-77395,,,,,,,,,,,,,,,,,
thorigny-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-thorigny-sur-marne/ville-77464,,,,,,,,,,,,,,,,,
sivry-courtry,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sivry-courtry/ville-77453,,,,,,,,,,,,,,,,,
chanteloup-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chanteloup-en-brie/ville-77085,,,,,,,,,,,,,,,,,
mauperthuis,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mauperthuis/ville-77281,,,,,,,,,,,,,,,,,
pontcarre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-pontcarre/ville-77374,,,,,,,,,,,,,,,,,
bernay-vilbert,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-bernay-vilbert/ville-77031,,,,,,,,,,,,,,,,,
