ville,lien,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Code Insee,Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2018),Pavillon bleu,Ville d'art et d'histoire,Ville fleurie,Ville internet,Superficie (surface),Altitude min.,Altitude max.,Latitude,Longitude
Marolles-sur-Seine (77130),https://www.journaldunet.com/management/ville/marolles-sur-seine/ville-77279,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77130,77279,"Marollais, Marollaises",1 784 hab.,n°5 968 ,88 hab/km²,"8,0 %",non,non,Aucune fleur,Aucune arobase,"20,2 km²",46 mètre(s),70 mètre(s),"48,3839","3,03202"
Carnetin (77400),https://www.journaldunet.com/management/ville/carnetin/ville-77062,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77062,"Carnetinois, Carnetinoises",455 hab.,n°17 510 ,283 hab/km²,"5,3 %",non,non,Aucune fleur,Aucune arobase,"1,6 km²",75 mètre(s),130 mètre(s),"48,9042","2,6994"
Othis (77280),https://www.journaldunet.com/management/ville/othis/ville-77349,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77280,77349,"Othissois, Othissoises",6 739 hab.,n°1 583 ,517 hab/km²,"10,0 %",non,non,Aucune fleur,Aucune arobase,"13,0 km²",94 mètre(s),155 mètre(s),"49,0827","2,65423"
Maison-Rouge (77370),https://www.journaldunet.com/management/ville/maison-rouge/ville-77272,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77370,77272,"Mansirubiens, Mansirubiennes",870 hab.,n°11 051 ,63 hab/km²,"11,2 %",non,non,Aucune fleur,1 arobase(s),"13,9 km²",105 mètre(s),155 mètre(s),"48,5549","3,15135"
Nanteuil-lès-Meaux (77100),https://www.journaldunet.com/management/ville/nanteuil-les-meaux/ville-77330,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77100,77330,"Nanteuillais, Nanteuillaises",6 218 hab.,n°1 731 ,816 hab/km²,"8,9 %",non,non,2 fleur(s),Aucune arobase,"7,6 km²",42 mètre(s),146 mètre(s),"48,9286","2,89914"
Poligny (77167),https://www.journaldunet.com/management/ville/poligny/ville-77370,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77167,77370,nc,789 hab.,n°11 888 ,29 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"27,3 km²",63 mètre(s),138 mètre(s),"48,2337","2,75634"
Obsonville (77890),https://www.journaldunet.com/management/ville/obsonville/ville-77342,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77890,77342,"Obsonvillois, Obsonvilloises",114 hab.,n°30 771 ,16 hab/km²,"9,4 %",non,non,Aucune fleur,Aucune arobase,"7,1 km²",105 mètre(s),116 mètre(s),"48,2166","2,56865"
Clos-Fontaine (77370),https://www.journaldunet.com/management/ville/clos-fontaine/ville-77119,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77119,"Clos-Fontainois, Clos-Fontainoises",255 hab.,n°23 566 ,43 hab/km²,"7,6 %",non,non,Aucune fleur,Aucune arobase,"6,0 km²",103 mètre(s),134 mètre(s),"48,6035","3,01424"
Saint-Siméon (77169),https://www.journaldunet.com/management/ville/saint-simeon/ville-77436,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77169,77436,nc,894 hab.,n°10 812 ,73 hab/km²,"9,7 %",non,non,Aucune fleur,Aucune arobase,"12,3 km²",76 mètre(s),161 mètre(s),"48,8046","3,19433"
Treuzy-Levelay (77710),https://www.journaldunet.com/management/ville/treuzy-levelay/ville-77473,Île-de-France,Seine-et-Marne,Communauté de communes Moret Seine et Loing,77710,77473,"Velytreuziens, Velytreuziennes",418 hab.,n°18 351 ,30 hab/km²,"4,2 %",non,non,Aucune fleur,Aucune arobase,"14,1 km²",66 mètre(s),140 mètre(s),"48,273","2,79482"
Montceaux-lès-Meaux (77470),https://www.journaldunet.com/management/ville/montceaux-les-meaux/ville-77300,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77470,77300,"Monticellois, Monticelloises",602 hab.,n°14 586 ,128 hab/km²,"8,5 %",non,non,Aucune fleur,Aucune arobase,"4,7 km²",86 mètre(s),172 mètre(s),"48,9434","2,99444"
Condé-Sainte-Libiaire (77450),https://www.journaldunet.com/management/ville/conde-sainte-libiaire/ville-77125,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77450,77125,"Condéens, Condéennes",1 425 hab.,n°7 297 ,663 hab/km²,"8,9 %",non,non,Aucune fleur,Aucune arobase,"2,2 km²",41 mètre(s),91 mètre(s),"48,8986","2,8364"
Bray-sur-Seine (77480),https://www.journaldunet.com/management/ville/bray-sur-seine/ville-77051,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77480,77051,nc,2 276 hab.,n°4 771 ,1 059 hab/km²,"18,7 %",non,non,1 fleur(s),Aucune arobase,"2,2 km²",54 mètre(s),82 mètre(s),"48,4146","3,2439"
Nanteuil-sur-Marne (77730),https://www.journaldunet.com/management/ville/nanteuil-sur-marne/ville-77331,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77730,77331,"Nanteuillais, Nanteuillaises",431 hab.,n°18 050 ,345 hab/km²,"8,4 %",non,non,Aucune fleur,Aucune arobase,"1,3 km²",53 mètre(s),188 mètre(s),"48,9805","3,22233"
Quincy-Voisins (77860),https://www.journaldunet.com/management/ville/quincy-voisins/ville-77382,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77860,77382,"Quincéens, Quincéennes",5 439 hab.,n°2 026 ,527 hab/km²,"7,2 %",non,non,Aucune fleur,Aucune arobase,"10,3 km²",43 mètre(s),138 mètre(s),"48,8994","2,87747"
Villeneuve-sur-Bellot (77510),https://www.journaldunet.com/management/ville/villeneuve-sur-bellot/ville-77512,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77510,77512,"Villeneuvois, Villeneuvoises",1 130 hab.,n°8 946 ,119 hab/km²,"15,0 %",non,non,Aucune fleur,Aucune arobase,"9,5 km²",83 mètre(s),203 mètre(s),"48,8732","3,33324"
Montolivet (77320),https://www.journaldunet.com/management/ville/montolivet/ville-77314,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77314,"Montolivetains, Montolivetaines",237 hab.,n°24 396 ,14 hab/km²,"14,8 %",non,non,Aucune fleur,Aucune arobase,"16,4 km²",153 mètre(s),203 mètre(s),"48,828","3,43159"
Boutigny (77470),https://www.journaldunet.com/management/ville/boutigny/ville-77049,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77470,77049,"Boutignaciens, Boutignaciennes",854 hab.,n°11 208 ,86 hab/km²,"8,5 %",non,non,Aucune fleur,Aucune arobase,"9,9 km²",60 mètre(s),171 mètre(s),"48,9128","2,92925"
Cannes-Écluse (77130),https://www.journaldunet.com/management/ville/cannes-ecluse/ville-77061,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77130,77061,"Cannois, Cannoises",2 472 hab.,n°4 416 ,286 hab/km²,"8,4 %",non,non,Aucune fleur,Aucune arobase,"8,6 km²",47 mètre(s),108 mètre(s),"48,364","2,99079"
Montgé-en-Goële (77230),https://www.journaldunet.com/management/ville/montge-en-goele/ville-77308,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77230,77308,"Montgéens, Montgéennes",757 hab.,n°12 252 ,65 hab/km²,"7,3 %",non,non,Aucune fleur,Aucune arobase,"11,6 km²",80 mètre(s),200 mètre(s),"49,0294","2,74391"
Machault (77133),https://www.journaldunet.com/management/ville/machault/ville-77266,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77133,77266,nc,781 hab.,n°11 974 ,48 hab/km²,"4,4 %",non,non,1 fleur(s),Aucune arobase,"16,3 km²",72 mètre(s),117 mètre(s),"48,446","2,84112"
Germigny-l'Évêque (77910),https://www.journaldunet.com/management/ville/germigny-l-eveque/ville-77203,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77910,77203,"Germignois, Germignoises",1 316 hab.,n°7 820 ,112 hab/km²,"8,2 %",non,non,Aucune fleur,Aucune arobase,"11,8 km²",42 mètre(s),104 mètre(s),"48,986","2,95833"
Monthyon (77122),https://www.journaldunet.com/management/ville/monthyon/ville-77309,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77122,77309,"Monthyonnais, Monthyonnaises",1 730 hab.,n°6 146 ,143 hab/km²,"9,6 %",non,non,Aucune fleur,Aucune arobase,"12,1 km²",89 mètre(s),168 mètre(s),"49,0101","2,83292"
Vincy-Manœuvre (77139),https://www.journaldunet.com/management/ville/vincy-manoeuvre/ville-77526,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77139,77526,"Vincynois, Vincynoises",283 hab.,n°22 539 ,57 hab/km²,"8,1 %",non,non,Aucune fleur,Aucune arobase,"5,0 km²",82 mètre(s),146 mètre(s),"49,076","2,95814"
Mauperthuis (77120),https://www.journaldunet.com/management/ville/mauperthuis/ville-77281,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77120,77281,"Malperthuisiens, Malperthuisiennes",479 hab.,n°16 980 ,243 hab/km²,"9,5 %",non,non,Aucune fleur,Aucune arobase,"2,0 km²",76 mètre(s),138 mètre(s),"48,77","3,03854"
La Trétoire (77510),https://www.journaldunet.com/management/ville/la-tretoire/ville-77472,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77510,77472,"Trétoiriens, Trétoiriennes",498 hab.,n°16 618 ,54 hab/km²,"10,0 %",non,non,1 fleur(s),Aucune arobase,"9,3 km²",68 mètre(s),189 mètre(s),"48,8789","3,24649"
Ichy (77890),https://www.journaldunet.com/management/ville/ichy/ville-77230,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77890,77230,"Ichichois, Ichichoises",163 hab.,n°27 963 ,21 hab/km²,"8,4 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",97 mètre(s),114 mètre(s),"48,2063","2,54177"
Villeneuve-sous-Dammartin (77230),https://www.journaldunet.com/management/ville/villeneuve-sous-dammartin/ville-77511,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77230,77511,"Villeneuvois, Villeneuvoises",643 hab.,n°13 897 ,85 hab/km²,"10,9 %",non,non,Aucune fleur,Aucune arobase,"7,6 km²",72 mètre(s),116 mètre(s),"49,0287","2,63671"
Saint-Ouen-sur-Morin (77750),https://www.journaldunet.com/management/ville/saint-ouen-sur-morin/ville-77429,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77750,77429,"Audoniens, Audoniennes",540 hab.,n°15 707 ,142 hab/km²,"8,2 %",non,non,Aucune fleur,Aucune arobase,"3,8 km²",61 mètre(s),187 mètre(s),"48,9068","3,20191"
Remauville (77710),https://www.journaldunet.com/management/ville/remauville/ville-77387,Île-de-France,Seine-et-Marne,Communauté de communes Moret Seine et Loing,77710,77387,"Remauvillois, Remauvilloises",463 hab.,n°17 340 ,43 hab/km²,"10,0 %",non,non,Aucune fleur,Aucune arobase,"10,9 km²",114 mètre(s),136 mètre(s),"48,2206","2,82537"
Saint-Brice (77160),https://www.journaldunet.com/management/ville/saint-brice/ville-77403,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77160,77403,nc,793 hab.,n°11 843 ,69 hab/km²,"11,8 %",non,non,Aucune fleur,Aucune arobase,"11,5 km²",91 mètre(s),178 mètre(s),"48,5723","3,33441"
Gouvernes (77400),https://www.journaldunet.com/management/ville/gouvernes/ville-77209,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77209,"Gouverniauds, Gouverniaudes",1 183 hab.,n°8 565 ,435 hab/km²,"6,6 %",non,non,Aucune fleur,Aucune arobase,"2,7 km²",46 mètre(s),104 mètre(s),"48,8585","2,69464"
